epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1744040481182,2025-04-07T18.41.21.182,0.000,0.267,-0.896,-0.223
1744040481201,2025-04-07T18.41.21.201,0.019,0.270,-0.894,-0.239
1744040481222,2025-04-07T18.41.21.222,0.040,0.260,-0.897,-0.249
1744040481242,2025-04-07T18.41.21.242,0.060,0.269,-0.905,-0.255
1744040481263,2025-04-07T18.41.21.263,0.081,0.266,-0.911,-0.251
1744040481283,2025-04-07T18.41.21.283,0.101,0.260,-0.901,-0.242
1744040481304,2025-04-07T18.41.21.304,0.122,0.257,-0.921,-0.240
1744040481323,2025-04-07T18.41.21.323,0.141,0.258,-0.916,-0.238
1744040481343,2025-04-07T18.41.21.343,0.161,0.255,-0.915,-0.234
1744040481364,2025-04-07T18.41.21.364,0.182,0.250,-0.911,-0.232
1744040481384,2025-04-07T18.41.21.384,0.202,0.249,-0.915,-0.231
1744040481405,2025-04-07T18.41.21.405,0.223,0.253,-0.919,-0.238
1744040481425,2025-04-07T18.41.21.425,0.243,0.252,-0.919,-0.242
1744040481444,2025-04-07T18.41.21.444,0.262,0.251,-0.920,-0.246
1744040481465,2025-04-07T18.41.21.465,0.283,0.253,-0.921,-0.248
1744040481485,2025-04-07T18.41.21.485,0.303,0.250,-0.925,-0.245
1744040481506,2025-04-07T18.41.21.506,0.324,0.252,-0.931,-0.243
1744040481526,2025-04-07T18.41.21.526,0.344,0.252,-0.928,-0.237
1744040481545,2025-04-07T18.41.21.545,0.363,0.251,-0.920,-0.235
1744040481566,2025-04-07T18.41.21.566,0.384,0.251,-0.916,-0.238
1744040481587,2025-04-07T18.41.21.587,0.405,0.249,-0.914,-0.241
1744040481607,2025-04-07T18.41.21.607,0.425,0.251,-0.917,-0.238
1744040481628,2025-04-07T18.41.21.628,0.446,0.252,-0.922,-0.231
1744040481648,2025-04-07T18.41.21.648,0.466,0.248,-0.922,-0.230
1744040481667,2025-04-07T18.41.21.667,0.485,0.251,-0.919,-0.233
1744040481688,2025-04-07T18.41.21.688,0.506,0.256,-0.913,-0.232
