epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1744041121532,2025-04-07T18.52.01.532,0.000,1.829,-0.701,-0.457
1744041121551,2025-04-07T18.52.01.551,0.019,1.982,-0.427,-0.274
1744041121572,2025-04-07T18.52.01.572,0.040,1.067,-0.945,-0.671
1744041121592,2025-04-07T18.52.01.592,0.060,1.189,-0.610,-0.762
1744041121613,2025-04-07T18.52.01.613,0.081,0.518,-0.793,-0.945
1744041121633,2025-04-07T18.52.01.633,0.101,0.091,0.183,-0.762
1744041121654,2025-04-07T18.52.01.654,0.122,-0.091,0.000,-0.854
1744041121673,2025-04-07T18.52.01.673,0.141,-0.030,-1.006,-1.189
1744041121693,2025-04-07T18.52.01.693,0.161,1.402,-0.854,-0.884
1744041121714,2025-04-07T18.52.01.714,0.182,0.884,-0.183,-0.488
1744041121734,2025-04-07T18.52.01.734,0.202,1.982,-0.061,-0.793
1744041121755,2025-04-07T18.52.01.755,0.223,3.171,0.549,-0.427
1744041121774,2025-04-07T18.52.01.774,0.242,1.951,0.305,-0.244
1744041121794,2025-04-07T18.52.01.794,0.262,2.073,-0.274,-0.701
1744041121815,2025-04-07T18.52.01.815,0.283,2.165,-0.671,-0.915
1744041121835,2025-04-07T18.52.01.835,0.303,0.061,-0.671,-0.976
1744041121856,2025-04-07T18.52.01.856,0.324,1.433,-0.122,-1.220
1744041121876,2025-04-07T18.52.01.876,0.344,0.701,-0.122,-1.067
1744041121896,2025-04-07T18.52.01.896,0.364,-0.213,-0.244,-0.518
1744041121916,2025-04-07T18.52.01.916,0.384,-0.945,0.274,-0.091
1744041121937,2025-04-07T18.52.01.937,0.405,1.433,-0.061,-0.823
1744041121957,2025-04-07T18.52.01.957,0.425,2.530,-0.488,-0.915
1744041121978,2025-04-07T18.52.01.978,0.446,-0.396,-0.976,0.152
1744041121998,2025-04-07T18.52.01.998,0.466,-0.579,-0.457,0.762
1744041122017,2025-04-07T18.52.02.017,0.485,0.610,0.762,0.610
1744041122038,2025-04-07T18.52.02.038,0.506,0.335,1.006,0.671
1744041122058,2025-04-07T18.52.02.058,0.526,0.305,0.305,0.457
1744041122079,2025-04-07T18.52.02.079,0.547,0.122,0.305,0.091
1744041122099,2025-04-07T18.52.02.099,0.567,-1.098,0.427,0.061
1744041122120,2025-04-07T18.52.02.120,0.588,-0.152,0.762,0.244
1744041122139,2025-04-07T18.52.02.139,0.607,1.220,1.860,0.884
1744041122159,2025-04-07T18.52.02.159,0.627,-0.061,1.616,1.311
1744041122180,2025-04-07T18.52.02.180,0.648,0.091,1.037,1.311
1744041122200,2025-04-07T18.52.02.200,0.668,1.189,1.799,1.555
1744041122221,2025-04-07T18.52.02.221,0.689,2.591,2.012,0.884
1744041122240,2025-04-07T18.52.02.240,0.708,1.921,1.128,0.000
1744041122260,2025-04-07T18.52.02.260,0.728,0.945,0.610,-0.244
1744041122281,2025-04-07T18.52.02.281,0.749,0.732,0.640,0.396
1744041122301,2025-04-07T18.52.02.301,0.769,0.396,0.183,1.311
1744041122322,2025-04-07T18.52.02.322,0.790,0.091,-0.091,2.165
1744041122342,2025-04-07T18.52.02.342,0.810,0.427,-0.549,1.890
1744041122361,2025-04-07T18.52.02.361,0.829,0.884,-1.860,1.006
1744041122382,2025-04-07T18.52.02.382,0.850,2.591,-1.646,0.732
1744041122402,2025-04-07T18.52.02.402,0.870,2.805,-1.463,1.098
1744041122423,2025-04-07T18.52.02.423,0.891,1.494,-2.378,1.250
1744041122443,2025-04-07T18.52.02.443,0.911,1.860,-2.348,1.159
1744041122464,2025-04-07T18.52.02.464,0.932,0.793,-1.738,1.128
1744041122483,2025-04-07T18.52.02.483,0.951,-0.183,-1.341,0.945
1744041122503,2025-04-07T18.52.02.503,0.971,0.091,-0.884,0.213
1744041122524,2025-04-07T18.52.02.524,0.992,0.366,-0.274,-0.213
1744041122544,2025-04-07T18.52.02.544,1.012,-0.305,-0.244,-0.305
1744041122565,2025-04-07T18.52.02.565,1.033,-1.250,-0.183,0.000
1744041122585,2025-04-07T18.52.02.585,1.053,-0.945,-0.396,-0.091
1744041122605,2025-04-07T18.52.02.605,1.073,-0.732,-0.305,0.213
1744041122625,2025-04-07T18.52.02.625,1.093,-1.524,-0.183,0.457
1744041122646,2025-04-07T18.52.02.646,1.114,-0.701,-0.732,0.000
1744041122666,2025-04-07T18.52.02.666,1.134,0.732,-1.646,-0.732
1744041122687,2025-04-07T18.52.02.687,1.155,0.854,-1.707,-0.366
1744041122706,2025-04-07T18.52.02.706,1.174,0.030,-1.189,0.518
1744041122726,2025-04-07T18.52.02.726,1.194,-0.640,-0.823,1.037
1744041122747,2025-04-07T18.52.02.747,1.215,-0.213,-1.311,0.701
1744041122767,2025-04-07T18.52.02.767,1.235,-0.884,-1.646,0.335
1744041122788,2025-04-07T18.52.02.788,1.256,0.091,-0.457,0.061
1744041122808,2025-04-07T18.52.02.808,1.276,0.335,0.213,0.000
1744041122827,2025-04-07T18.52.02.827,1.295,0.061,0.213,0.305
1744041122848,2025-04-07T18.52.02.848,1.316,-0.183,-0.122,0.793
1744041122868,2025-04-07T18.52.02.868,1.336,-0.640,-0.732,0.640
1744041122889,2025-04-07T18.52.02.889,1.357,-0.457,-0.854,0.518
1744041122909,2025-04-07T18.52.02.909,1.377,0.213,-0.366,0.549
1744041122930,2025-04-07T18.52.02.930,1.398,0.823,-0.457,0.183
1744041122949,2025-04-07T18.52.02.949,1.417,1.037,-1.098,-0.732
1744041122969,2025-04-07T18.52.02.969,1.437,0.030,-0.915,-0.183
1744041122990,2025-04-07T18.52.02.990,1.458,-0.579,-0.549,0.671
1744041123010,2025-04-07T18.52.03.010,1.478,-0.061,-1.067,0.915
1744041123031,2025-04-07T18.52.03.031,1.499,-0.518,-1.585,0.579
1744041123051,2025-04-07T18.52.03.051,1.519,-0.457,-0.884,0.610
1744041123070,2025-04-07T18.52.03.070,1.538,-1.860,0.244,1.402
1744041123091,2025-04-07T18.52.03.091,1.559,-1.494,0.854,2.073
1744041123111,2025-04-07T18.52.03.111,1.579,-0.945,-0.305,2.439
1744041123132,2025-04-07T18.52.03.132,1.600,-2.012,-0.579,3.140
1744041123152,2025-04-07T18.52.03.152,1.620,-3.140,0.030,3.902
1744041123171,2025-04-07T18.52.03.171,1.639,-3.140,0.732,4.634
1744041123192,2025-04-07T18.52.03.192,1.660,-1.982,0.213,4.085
1744041123212,2025-04-07T18.52.03.212,1.680,-1.372,-0.457,3.079
1744041123233,2025-04-07T18.52.03.233,1.701,-2.043,-1.402,2.012
1744041123253,2025-04-07T18.52.03.253,1.721,-1.006,-1.098,0.579
1744041123274,2025-04-07T18.52.03.274,1.742,0.335,-0.671,-0.366
1744041123293,2025-04-07T18.52.03.293,1.761,-0.305,-0.854,-0.823
1744041123314,2025-04-07T18.52.03.314,1.782,-0.457,-1.341,-1.250
1744041123334,2025-04-07T18.52.03.334,1.802,-1.951,-1.372,-1.189
1744041123355,2025-04-07T18.52.03.355,1.823,-0.762,0.244,-1.128
1744041123375,2025-04-07T18.52.03.375,1.843,-0.488,0.732,-0.854
1744041123396,2025-04-07T18.52.03.396,1.864,-0.640,-0.945,-0.671
1744041123415,2025-04-07T18.52.03.415,1.883,-0.335,-2.134,-0.549
1744041123435,2025-04-07T18.52.03.435,1.903,-1.799,-0.579,-0.427
1744041123456,2025-04-07T18.52.03.456,1.924,-0.183,1.067,-0.701
1744041123476,2025-04-07T18.52.03.476,1.944,-0.152,1.616,-0.335
1744041123497,2025-04-07T18.52.03.497,1.965,-0.274,0.854,-0.823
1744041123517,2025-04-07T18.52.03.517,1.985,0.793,-0.061,-1.768
1744041123536,2025-04-07T18.52.03.536,2.004,-0.671,0.671,-1.585
1744041123557,2025-04-07T18.52.03.557,2.025,0.183,0.671,-1.433
1744041123577,2025-04-07T18.52.03.577,2.045,0.518,0.701,-0.854
1744041123598,2025-04-07T18.52.03.598,2.066,0.427,-0.061,-1.220
1744041123618,2025-04-07T18.52.03.618,2.086,0.366,-0.213,-1.433
1744041123637,2025-04-07T18.52.03.637,2.105,-0.610,-0.427,-0.854
1744041123658,2025-04-07T18.52.03.658,2.126,-0.122,-0.366,-0.274
1744041123678,2025-04-07T18.52.03.678,2.146,-0.549,0.671,0.213
1744041123699,2025-04-07T18.52.03.699,2.167,-1.463,0.915,0.457
1744041123719,2025-04-07T18.52.03.719,2.187,-1.616,1.189,-0.061
1744041123740,2025-04-07T18.52.03.740,2.208,-0.671,2.134,0.091
1744041123759,2025-04-07T18.52.03.759,2.227,-2.317,1.982,0.884
1744041123779,2025-04-07T18.52.03.779,2.247,-2.927,1.341,1.128
1744041123800,2025-04-07T18.52.03.800,2.268,-1.707,1.555,1.098
1744041123820,2025-04-07T18.52.03.820,2.288,-1.006,2.073,1.220
1744041123841,2025-04-07T18.52.03.841,2.309,-1.677,2.500,1.890
