epoc (ms),timestamp (+0300),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1744041121459,2025-04-07T18.52.01.459,0.000,-0.000343563,0.000064438,-0.000240750
1744041121499,2025-04-07T18.52.01.499,0.040,-0.000344687,0.000064812,-0.000241688
1744041121540,2025-04-07T18.52.01.540,0.081,-0.000343938,0.000064812,-0.000241375
1744041121579,2025-04-07T18.52.01.579,0.120,-0.000345062,0.000065188,-0.000241688
1744041121619,2025-04-07T18.52.01.619,0.160,-0.000344312,0.000064125,-0.000241375
1744041121658,2025-04-07T18.52.01.658,0.199,-0.000344312,0.000064500,-0.000241000
1744041121698,2025-04-07T18.52.01.698,0.239,-0.000343938,0.000064812,-0.000241000
1744041121737,2025-04-07T18.52.01.737,0.278,-0.000344375,0.000065562,-0.000240687
1744041121778,2025-04-07T18.52.01.778,0.319,-0.000344375,0.000063750,-0.000241500
1744041121818,2025-04-07T18.52.01.818,0.359,-0.000344375,0.000064875,-0.000241500
1744041121857,2025-04-07T18.52.01.857,0.398,-0.000344375,0.000065188,-0.000241937
1744041121897,2025-04-07T18.52.01.897,0.438,-0.000345437,0.000065562,-0.000239875
1744041121937,2025-04-07T18.52.01.937,0.478,-0.000344000,0.000065562,-0.000240687
1744041121978,2025-04-07T18.52.01.978,0.519,-0.000344375,0.000065188,-0.000240687
1744041122017,2025-04-07T18.52.02.017,0.558,-0.000344750,0.000064125,-0.000241563
1744041122057,2025-04-07T18.52.02.057,0.598,-0.000345437,0.000065562,-0.000241812
1744041122096,2025-04-07T18.52.02.096,0.637,-0.000345125,0.000064875,-0.000241937
1744041122136,2025-04-07T18.52.02.136,0.677,-0.000345125,0.000065188,-0.000241563
1744041122175,2025-04-07T18.52.02.175,0.716,-0.000344375,0.000065938,-0.000241188
1744041122216,2025-04-07T18.52.02.216,0.757,-0.000344750,0.000064875,-0.000242312
1744041122256,2025-04-07T18.52.02.256,0.797,-0.000344375,0.000065562,-0.000242312
1744041122295,2025-04-07T18.52.02.295,0.836,-0.000344750,0.000065188,-0.000241500
1744041122335,2025-04-07T18.52.02.335,0.876,-0.000345125,0.000065188,-0.000241563
1744041122375,2025-04-07T18.52.02.375,0.916,-0.000345125,0.000065938,-0.000240687
1744041122414,2025-04-07T18.52.02.414,0.955,-0.000345500,0.000065938,-0.000241188
1744041122455,2025-04-07T18.52.02.455,0.996,-0.000345500,0.000064500,-0.000241563
1744041122495,2025-04-07T18.52.02.495,1.036,-0.000344000,0.000065188,-0.000242375
1744041122534,2025-04-07T18.52.02.534,1.075,-0.000343625,0.000066687,-0.000241563
1744041122574,2025-04-07T18.52.02.574,1.115,-0.000344375,0.000065562,-0.000242375
1744041122613,2025-04-07T18.52.02.613,1.154,-0.000344000,0.000064875,-0.000241937
1744041122653,2025-04-07T18.52.02.653,1.194,-0.000344375,0.000065938,-0.000240813
1744041122694,2025-04-07T18.52.02.694,1.235,-0.000344375,0.000065188,-0.000241563
1744041122733,2025-04-07T18.52.02.733,1.274,-0.000344750,0.000064500,-0.000243125
1744041122773,2025-04-07T18.52.02.773,1.314,-0.000344750,0.000065938,-0.000241563
1744041122813,2025-04-07T18.52.02.813,1.354,-0.000344750,0.000065250,-0.000241250
1744041122852,2025-04-07T18.52.02.852,1.393,-0.000344750,0.000065562,-0.000240813
1744041122892,2025-04-07T18.52.02.892,1.433,-0.000344375,0.000065188,-0.000241563
1744041122933,2025-04-07T18.52.02.933,1.474,-0.000344750,0.000065562,-0.000241188
1744041122972,2025-04-07T18.52.02.972,1.513,-0.000344375,0.000064875,-0.000240813
1744041123012,2025-04-07T18.52.03.012,1.553,-0.000345500,0.000066313,-0.000242062
1744041123051,2025-04-07T18.52.03.051,1.592,-0.000345500,0.000064500,-0.000240000
1744041123091,2025-04-07T18.52.03.091,1.632,-0.000345125,0.000065562,-0.000241188
1744041123130,2025-04-07T18.52.03.130,1.671,-0.000345500,0.000065188,-0.000241563
1744041123171,2025-04-07T18.52.03.171,1.712,-0.000344750,0.000065562,-0.000240813
1744041123211,2025-04-07T18.52.03.211,1.752,-0.000344000,0.000064875,-0.000241625
1744041123251,2025-04-07T18.52.03.251,1.792,-0.000344000,0.000063750,-0.000241250
1744041123290,2025-04-07T18.52.03.290,1.831,-0.000344000,0.000064500,-0.000241188
1744041123330,2025-04-07T18.52.03.330,1.871,-0.000344750,0.000064125,-0.000240750
1744041123369,2025-04-07T18.52.03.369,1.910,-0.000343688,0.000065562,-0.000240875
1744041123410,2025-04-07T18.52.03.410,1.951,-0.000344375,0.000064125,-0.000241563
1744041123450,2025-04-07T18.52.03.450,1.991,-0.000344000,0.000063750,-0.000240875
1744041123489,2025-04-07T18.52.03.489,2.030,-0.000344000,0.000065562,-0.000242375
1744041123529,2025-04-07T18.52.03.529,2.070,-0.000344750,0.000064875,-0.000242062
1744041123568,2025-04-07T18.52.03.568,2.109,-0.000345125,0.000064875,-0.000242062
1744041123608,2025-04-07T18.52.03.608,2.149,-0.000344375,0.000064875,-0.000241188
1744041123649,2025-04-07T18.52.03.649,2.190,-0.000344000,0.000064875,-0.000241250
1744041123689,2025-04-07T18.52.03.689,2.230,-0.000344750,0.000064500,-0.000242062
1744041123728,2025-04-07T18.52.03.728,2.269,-0.000344375,0.000064875,-0.000241188
1744041123768,2025-04-07T18.52.03.768,2.309,-0.000344375,0.000064500,-0.000240750
1744041123807,2025-04-07T18.52.03.807,2.348,-0.000345125,0.000063750,-0.000241188
